CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,Contract,InternetService,MonthlyCharges,TotalCharges,PaymentMethod,Churn
1,Male,0,Yes,No,5,Month-to-month,Fiber,78.5,392.5,Card,1
2,Female,1,No,No,12,One year,DSL,55.2,662.4,Bank,0
3,Female,0,Yes,Yes,24,Two year,DSL,65.5,1572,Bank,0
4,Male,0,No,No,3,Month-to-month,Fiber,90.1,270.3,Online,1
5,Male,0,Yes,No,15,Month-to-month,DSL,62.3,934.5,Card,0
6,Female,1,No,No,8,Month-to-month,Fiber,88.6,708.8,Card,1
7,Female,0,Yes,Yes,36,Two year,DSL,56.0,2016,Online,0
8,Male,0,No,No,1,Month-to-month,None,20.0,20.0,Bank,1
9,Male,0,Yes,No,10,One year,Fiber,79.2,792,Card,0
10,Female,0,No,Yes,4,Month-to-month,Fiber,85.5,342,Online,1
11,Female,0,Yes,No,20,One year,DSL,60.0,1200,Bank,0
12,Male,1,No,No,2,Month-to-month,Fiber,95.3,190.6,Online,1
13,Male,0,Yes,Yes,28,Two year,DSL,67.5,1890,Bank,0
14,Female,1,No,No,9,Month-to-month,Fiber,89.7,807.3,Card,1
15,Female,0,Yes,No,18,One year,DSL,58.2,1047.6,Bank,0
16,Male,0,No,No,7,Month-to-month,None,19.0,133,Bank,1
17,Female,1,Yes,Yes,30,Two year,Fiber,94.0,2820,Card,0
18,Male,0,No,No,5,Month-to-month,Fiber,85.0,425,Online,1
19,Female,1,Yes,No,22,Two year,DSL,63.4,1394.8,Bank,0
20,Male,0,No,Yes,1,Month-to-month,Fiber,88.1,88.1,Card,1
21,Female,0,Yes,No,40,Two year,Fiber,72.0,2880,Bank,0
22,Male,1,No,No,3,Month-to-month,None,25.5,76.5,Online,1
23,Female,0,Yes,No,14,One year,DSL,57.5,805,Bank,0
24,Male,0,No,Yes,6,Month-to-month,Fiber,92.1,552.6,Card,1
25,Female,1,Yes,Yes,50,Two year,DSL,66.0,3300,Online,0
26,Male,0,No,No,2,Month-to-month,None,19.9,39.8,Bank,1
27,Female,0,Yes,No,17,One year,Fiber,75.2,1278.4,Card,0
28,Male,1,No,Yes,5,Month-to-month,Fiber,89.0,445,Online,1
29,Female,0,Yes,No,29,Two year,DSL,64.0,1856,Card,0
30,Male,0,No,Yes,3,Month-to-month,Fiber,91.4,274.2,Bank,1
31,Female,1,Yes,Yes,45,Two year,Fiber,74.0,3330,Bank,0
32,Male,0,No,No,1,Month-to-month,None,23.5,23.5,Online,1
33,Female,1,Yes,No,19,One year,DSL,58.5,1111.5,Card,0
34,Male,0,No,Yes,8,Month-to-month,Fiber,87.9,703.2,Bank,1
35,Female,0,Yes,Yes,27,Two year,DSL,63.0,1701,Online,0
36,Male,1,No,No,6,Month-to-month,Fiber,94.2,565.2,Online,1
37,Female,0,Yes,No,33,Two year,DSL,65.5,2161.5,Bank,0
38,Male,0,No,Yes,2,Month-to-month,None,20.0,40.0,Card,1
39,Female,1,Yes,No,16,One year,Fiber,78.6,1257.6,Online,0
40,Male,0,No,No,4,Month-to-month,Fiber,90.8,363.2,Bank,1
