CustomerID,Age,AnnualIncome,SpendingScore,Tenure,Transactions
1,22,30,79,1,22
2,35,78,55,6,40
3,27,52,81,2,31
4,45,90,38,8,52
5,23,42,77,1,29
6,31,60,58,4,37
7,29,50,80,2,33
8,52,110,20,10,70
9,40,65,45,5,48
10,28,48,74,2,30
11,36,72,53,4,42
12,26,54,82,2,34
13,46,95,30,9,55
14,24,40,75,1,28
15,33,59,60,4,36
16,32,57,62,3,38
17,44,88,35,7,50
18,25,45,78,1,27
19,38,70,50,5,45
20,30,55,69,3,33
21,48,100,28,8,58
22,23,38,80,1,25
23,34,62,57,4,39
24,28,49,73,2,29
25,39,68,48,5,44
26,47,98,29,8,56
27,26,46,79,1,26
28,37,71,51,5,46
29,31,53,76,3,32
30,43,85,33,7,49
31,24,39,82,1,27
32,35,61,59,4,41
33,29,50,77,2,30
34,41,75,43,6,47
35,27,44,81,1,28
36,30,58,63,3,35
37,49,103,26,9,60
38,22,36,84,1,23
39,33,60,55,4,38
40,45,92,34,8,53
41,26,47,78,1,26
42,38,69,49,5,45
43,32,55,68,3,34
44,50,105,25,9,61
45,25,43,80,1,25
46,36,64,56,4,40
47,31,52,75,2,31
48,42,82,40,6,50
49,23,37,83,1,24
50,34,63,58,4,39
