HouseID,City,Location,HouseType,Area,Bedrooms,Bathrooms,Age,Parking,Price
301,Bengaluru,Koramangala,3BHK,1680,3,3,7,1,13300000
302,Delhi,Saket,2BHK,1040,2,2,10,1,8200000
303,Mumbai,Andheri,1BHK,700,1,1,15,0,5200000
304,Chennai,Velachery,3BHK,1500,3,3,9,1,8400000
305,Hyderabad,Banjara Hills,4BHK,2480,4,4,4,1,18000000
306,Bengaluru,Whitefield,2BHK,1150,2,2,10,1,8100000
307,Delhi,Rohini,3BHK,1650,3,3,11,1,10900000
308,Mumbai,Bandra,3BHK,1700,3,3,7,1,20500000
309,Chennai,Anna Nagar,1BHK,720,1,1,15,0,4100000
310,Hyderabad,Gachibowli,1BHK,680,1,1,16,0,4200000
311,Bengaluru,Indiranagar,4BHK,2400,4,4,4,1,19500000
312,Delhi,Janakpuri,2BHK,1100,2,2,10,0,7500000
313,Mumbai,Thane,3BHK,1600,3,3,7,1,13800000
314,Chennai,Sholinganallur,1BHK,740,1,1,14,0,4300000
315,Hyderabad,Madhapur,2BHK,1130,2,2,9,1,7600000
316,Bengaluru,Electronic City,3BHK,1620,3,3,6,1,11200000
317,Delhi,Dwarka,1BHK,700,1,1,15,0,3900000
318,Mumbai,Jogeshwari,2BHK,980,2,2,10,1,10500000
319,Chennai,Perungudi,3BHK,1520,3,3,8,1,8600000
320,Hyderabad,Kondapur,4BHK,2500,4,4,5,1,16000000
321,Bengaluru,Koramangala,2BHK,1120,2,2,10,1,8200000
322,Delhi,Saket,4BHK,2320,4,4,6,1,17800000
323,Mumbai,Andheri,3BHK,1720,3,3,5,1,20000000
324,Chennai,Velachery,1BHK,700,1,1,16,0,4000000
325,Hyderabad,Banjara Hills,2BHK,1180,2,2,9,1,7400000
326,Bengaluru,Whitefield,3BHK,1650,3,3,7,1,12800000
327,Delhi,Rohini,2BHK,1040,2,2,12,0,7200000
328,Mumbai,Bandra,1BHK,690,1,1,14,0,5200000
329,Chennai,Anna Nagar,3BHK,1560,3,3,9,1,9000000
330,Hyderabad,Gachibowli,2BHK,1000,2,2,8,1,6600000
331,Bengaluru,Indiranagar,1BHK,700,1,1,15,0,5100000
332,Delhi,Janakpuri,3BHK,1600,3,3,11,1,10800000
333,Mumbai,Thane,1BHK,680,1,1,16,0,4500000
334,Chennai,Sholinganallur,3BHK,1500,3,3,8,1,8400000
335,Hyderabad,Madhapur,4BHK,2450,4,4,4,1,17500000
336,Bengaluru,Electronic City,2BHK,1170,2,2,7,1,8000000
