CustomerID,Age,Annual_Income_Lakhs,Spending_Score
1,19,15,39
2,21,15,81
3,20,16,6
4,23,16,77
5,31,17,40
6,22,17,76
7,35,18,6
8,23,18,94
9,64,19,3
10,30,19,72
11,67,20,14
12,35,20,99
13,58,21,15
14,24,21,77
15,37,22,13
16,22,22,79
17,35,23,35
18,20,23,66
19,52,24,29
20,35,24,98
21,33,25,35
22,44,25,73
23,50,26,5
24,40,26,73
25,23,27,12
26,60,27,92
27,21,28,15
28,53,28,73
29,44,28,14
30,35,28,82
31,50,29,32
32,43,29,61
33,41,30,31
34,43,30,87
35,51,31,4
36,50,31,73
37,36,32,14
38,49,32,44
39,42,33,15
40,54,33,60
41,39,34,12
42,48,34,83
43,25,35,15
44,31,35,81
45,41,36,30
46,50,36,85
47,36,37,27
48,42,37,78
49,38,38,34
50,67,38,92
51,46,39,11
52,48,39,86
53,40,40,31
54,57,40,69
55,37,41,14
56,43,41,88
57,45,42,13
58,48,42,73
59,42,43,14
60,59,43,75
61,41,44,21
62,51,44,70
63,67,45,6
64,43,45,76
65,42,46,34
66,45,46,83
67,48,47,17
68,50,47,71
69,43,48,8
70,59,48,79
71,60,49,4
72,51,49,77
73,54,50,20
74,42,50,90
75,41,51,13
76,50,51,80
77,51,52,7
78,69,52,74
79,48,53,10
80,55,53,85
81,36,54,12
82,64,54,82
83,38,55,14
84,67,55,92
85,44,56,15
86,51,56,73
87,32,57,17
88,48,57,75
89,34,58,23
90,60,58,93
91,60,59,24
92,60,59,87
93,54,60,4
94,60,60,91
95,38,61,14
96,42,61,79
97,56,62,15
98,65,62,81
99,45,63,28
100,55,63,69
101,22,15,79
102,28,15,40
103,20,16,6
104,32,16,98
105,22,17,40
106,25,17,89
107,23,18,5
108,34,18,88
109,45,19,10
110,23,19,96
111,25,20,22
112,31,20,88
113,22,21,13
114,35,21,93
115,34,22,14
116,40,22,97
117,25,23,16
118,31,23,73
119,41,24,17
120,29,24,79
121,21,25,10
122,50,25,88
123,27,26,7
124,38,26,97
125,40,27,26
126,28,27,82
127,53,28,6
128,44,28,85
129,33,29,12
130,37,29,92
131,51,30,15
132,46,30,98
133,41,31,13
134,54,31,95
135,43,32,11
136,48,32,88
137,35,33,17
138,49,33,73
139,42,34,9
140,59,34,97
141,36,35,20
142,42,35,90
143,41,36,18
144,50,36,85
145,36,37,11
146,49,37,88
147,38,38,5
148,46,38,83
149,54,39,6
150,47,39,82
151,40,40,21
152,55,40,92
153,37,41,10
154,43,41,79
155,45,42,7
156,48,42,93
157,42,43,8
158,59,43,75
159,36,44,16
160,50,44,88
161,49,45,9
162,60,45,97
163,34,46,12
164,48,46,75
165,36,47,20
166,55,47,88
167,39,48,17
168,56,48,73
169,37,49,13
170,57,49,90
171,40,50,14
172,59,50,85
173,43,51,12
174,51,51,82
175,46,52,13
176,58,52,91
177,35,53,15
178,59,53,81
179,54,54,14
180,60,54,86
181,42,55,16
182,61,55,77
183,51,56,7
184,65,56,90
185,41,57,10
186,59,57,84
187,35,58,7
188,66,58,82
189,37,59,5
190,68,59,87
191,40,60,12
192,60,60,93
193,38,61,13
194,55,61,87
195,40,62,9
196,65,62,84
197,39,63,19
198,67,63,92
199,41,64,13
200,69,64,81
