MathScore,ReadingScore,WritingScore,Attendance,StudyHours,IQ
78,82,80,92,3,110
65,70,68,85,2,98
90,88,92,96,5,125
55,60,58,80,1,95
72,75,74,89,3,108
88,90,91,94,4,120
45,50,48,75,1,92
82,85,84,90,3,112
67,65,66,83,2,100
94,96,95,98,6,130
76,78,77,88,3,109
59,62,61,82,2,97
84,87,85,93,4,118
69,72,71,86,2,102
91,89,90,97,5,126
53,57,55,79,1,94
80,83,81,91,3,111
63,66,65,84,2,99
87,89,88,95,4,119
71,74,73,87,3,107
92,94,93,97,6,128
58,61,60,81,2,96
83,86,85,92,4,117
68,70,69,85,2,103
95,97,96,99,6,132
77,79,78,88,3,110
60,63,62,83,2,98
86,88,87,94,4,118
70,73,72,86,3,106
93,95,94,98,6,129
57,59,58,80,2,96
81,84,82,91,3,113
64,67,66,84,2,101
89,91,90,95,5,122
73,76,75,87,3,108
96,98,97,99,6,134
79,82,81,90,3,112
62,65,64,83,2,99
85,87,86,93,4,119
66,69,67,85,2,104
97,99,98,100,6,135
75,78,76,88,3,109
61,64,63,82,2,98
90,92,91,96,5,124
74,77,76,87,3,107
98,100,99,100,7,138
72,74,73,86,3,106
88,91,90,94,5,121
69,71,70,85,2,103
