Age,Experience,Department,Education,Salary
56.0,30.0,HR,Masters,37436.67317179301
46.0,22.0,HR,Masters,59023.57761946395
32.0,11.0,IT,Masters,30561.12727688394
25.0,2.0,Sales,Bachelors,-5287.900431178226
38.0,20.0,Finance,Bachelors,46861.19421634556
,,Sales,PhD,40538.384013868796
36.0,18.0,Finance,Masters,64782.24949999093
40.0,25.0,Marketing,Diploma,45704.802257511205
28.0,6.0,Sales,Bachelors,35484.117598883924
28.0,0.0,Marketing,Masters,35837.693642168095
41.0,13.0,HR,Masters,36388.99043174931
53.0,27.0,HR,Bachelors,50042.38323855001
57.0,40.0,IT,PhD,74653.61034170516
41.0,20.0,Sales,Bachelors,30005.17782640047
20.0,9.0,Marketing,Bachelors,26672.798362085996
39.0,13.0,Finance,Diploma,25893.334180985497
19.0,3.0,HR,Diploma,53951.3200882433
41.0,25.0,HR,PhD,39474.50034488255
47.0,26.0,Finance,Masters,48650.7511192438
55.0,26.0,Marketing,Bachelors,41790.92978125623
19.0,1.0,Marketing,PhD,26177.330700878196
38.0,21.0,Sales,Diploma,35738.558002848265
50.0,,Sales,Bachelors,58540.86470461678
29.0,5.0,IT,Masters,18387.247700801556
39.0,10.0,HR,Diploma,17713.241676350044
42.0,14.0,Sales,Diploma,32823.694458508595
44.0,17.0,Marketing,Diploma,31626.471729527006
59.0,39.0,Finance,PhD,41132.32764287433
45.0,21.0,Marketing,Masters,41949.40801495197
33.0,9.0,HR,Bachelors,12298.238691654999
32.0,12.0,Marketing,PhD,65516.21441151389
20.0,5.0,IT,PhD,11610.979533764606
54.0,36.0,HR,PhD,49105.507510488766
24.0,0.0,Finance,Diploma,23946.675647296335
38.0,18.0,IT,Masters,69670.27446908431
26.0,3.0,HR,PhD,25781.08137454932
56.0,36.0,Finance,Bachelors,60930.751378763525
35.0,10.0,IT,Masters,53557.376974169376
21.0,5.0,IT,Bachelors,29353.85344776092
42.0,23.0,HR,Masters,30852.74451743486
31.0,16.0,Sales,Bachelors,41180.22553470412
26.0,4.0,IT,Diploma,56106.518898387156
43.0,24.0,IT,PhD,39963.212328484326
19.0,7.0,Finance,Bachelors,57142.75202116649
37.0,11.0,Marketing,Masters,42680.003680153255
45.0,19.0,HR,PhD,63687.71317604376
24.0,5.0,HR,PhD,37280.24638414211
25.0,4.0,Sales,Masters,25934.364620460445
52.0,34.0,Sales,Bachelors,81782.8997956093
31.0,11.0,HR,Diploma,42178.530292084055
34.0,7.0,Sales,Diploma,38096.443037047415
53.0,35.0,,Bachelors,70113.33447408144
57.0,29.0,HR,PhD,67062.28574628303
21.0,8.0,Sales,PhD,48592.84696357149
19.0,2.0,HR,PhD,11339.170705877405
23.0,2.0,Marketing,PhD,22041.46701886184
59.0,37.0,IT,Bachelors,49752.06572796774
21.0,3.0,HR,PhD,82855.18624512748
46.0,19.0,IT,Masters,32118.443518946617
35.0,19.0,Sales,PhD,35134.64133273957
43.0,17.0,IT,Diploma,48639.23114281241
51.0,27.0,HR,PhD,59016.139308747435
27.0,1.0,Marketing,Bachelors,30775.460500338533
53.0,36.0,Sales,Diploma,52409.51492153371
31.0,16.0,HR,Bachelors,61931.9487298043
48.0,26.0,Sales,Bachelors,49426.50909025244
,3.0,Finance,Diploma,46456.08780472768
25.0,8.0,IT,Bachelors,27860.108041768333
31.0,5.0,Finance,Bachelors,40205.691999281116
40.0,16.0,HR,PhD,62931.32756458873
57.0,36.0,Marketing,Masters,19668.179854734364
38.0,14.0,Sales,Bachelors,31373.720742638827
33.0,14.0,IT,Bachelors,50106.132637618175
35.0,11.0,Sales,Bachelors,56992.226105240276
41.0,22.0,HR,PhD,50646.703219197596
43.0,15.0,Sales,Masters,42743.59093949107
42.0,21.0,IT,Diploma,70958.6769483495
58.0,29.0,HR,PhD,72309.90085883229
46.0,23.0,Sales,PhD,35371.27094428451
32.0,6.0,Marketing,Masters,36546.16470181136
18.0,1.0,HR,Masters,36202.53503203273
42.0,27.0,HR,PhD,77378.99061020529
24.0,0.0,Marketing,Diploma,42991.057740641976
26.0,2.0,Finance,PhD,30046.358501475646
41.0,,IT,Masters,54101.11493205432
18.0,11.0,Finance,Diploma,10541.747661491598
25.0,9.0,Sales,Masters,51729.42726941017
41.0,13.0,Marketing,Diploma,50085.99183084871
28.0,8.0,Finance,Bachelors,54582.34649837653
34.0,11.0,HR,Masters,36639.2605258822
25.0,3.0,Sales,Masters,34320.616028376906
52.0,25.0,Sales,PhD,42779.92476080412
52.0,33.0,Finance,Masters,39179.17640766388
50.0,,Finance,Masters,48966.15695676736
22.0,5.0,Marketing,Bachelors,6710.493257051061
59.0,38.0,,Masters,296476.33093564503
56.0,27.0,Finance,Bachelors,18976.762460203543
58.0,39.0,Finance,Bachelors,91682.13788938828
45.0,25.0,HR,Bachelors,23538.09651049877
24.0,3.0,Sales,Bachelors,54898.33013512796
26.0,5.0,IT,Diploma,20379.189346443432
25.0,8.0,HR,PhD,44815.49601206591
29.0,3.0,Marketing,Diploma,21113.299495096966
51.0,27.0,Marketing,Masters,76706.22239087074
50.0,33.0,Finance,Diploma,57055.5400212641
40.0,21.0,Finance,Diploma,62905.23018148129
41.0,21.0,Marketing,Masters,47940.720598445776
54.0,31.0,Finance,Masters,60094.39963308353
52.0,25.0,IT,Masters,59241.59981029624
57.0,29.0,Finance,Diploma,45269.140217504435
39.0,13.0,Sales,Diploma,21195.633076471164
44.0,25.0,Finance,Masters,30475.950113870003
52.0,23.0,HR,PhD,49162.63853704234
18.0,3.0,IT,PhD,25070.398719178793
52.0,24.0,HR,Bachelors,17012.148602250873
54.0,26.0,HR,Masters,58494.118761872436
31.0,3.0,Sales,Bachelors,14122.655380701217
20.0,2.0,IT,PhD,14195.124620960414
18.0,1.0,IT,Bachelors,30175.60948569614
22.0,4.0,IT,Masters,19698.2651288913
43.0,19.0,IT,Masters,47037.582475092786
31.0,7.0,IT,Masters,65201.91337403837
56.0,37.0,Sales,Diploma,53914.135307265184
44.0,23.0,Finance,Bachelors,32506.31280675027
26.0,8.0,HR,PhD,39122.60466440965
32.0,17.0,IT,PhD,31971.52309498469
,4.0,Finance,PhD,33556.272229966205
43.0,15.0,Finance,Diploma,46734.53965021858
59.0,40.0,HR,Diploma,61472.045923062746
30.0,9.0,Sales,Masters,38048.38424383752
49.0,25.0,Marketing,PhD,52881.35570948974
56.0,32.0,Marketing,Diploma,79556.69083781216
49.0,29.0,Finance,Masters,49406.21043839508
21.0,2.0,HR,PhD,33511.51610002135
47.0,29.0,Marketing,Bachelors,66202.73595013215
54.0,38.0,Finance,Masters,67465.55247127032
40.0,22.0,Sales,Diploma,42226.86199263831
56.0,27.0,Marketing,Diploma,65127.95155526831
32.0,,Finance,Masters,23331.296783276062
46.0,22.0,Finance,Masters,44198.75859052661
53.0,36.0,IT,Diploma,47233.7018924334
30.0,6.0,,Bachelors,43442.61899206652
49.0,34.0,IT,PhD,75043.99671927124
24.0,2.0,HR,Bachelors,34950.04238044533
39.0,20.0,IT,Masters,47128.98918893782
45.0,18.0,IT,Bachelors,31274.869988128863
19.0,1.0,Marketing,Diploma,20261.733243197537
59.0,37.0,Finance,Masters,41701.098265423614
23.0,2.0,Sales,PhD,-1050.2208390827363
45.0,29.0,IT,Diploma,47334.489981542625
45.0,30.0,Sales,Diploma,49528.42095970552
37.0,11.0,IT,PhD,71392.63443059959
47.0,22.0,HR,PhD,71042.20349312166
28.0,10.0,IT,Bachelors,46334.603594503016
45.0,23.0,Marketing,Masters,79667.15845812345
42.0,16.0,Finance,PhD,63663.552442779124
56.0,40.0,HR,PhD,31886.479679558393
50.0,33.0,IT,Masters,72411.84258352127
18.0,8.0,Sales,PhD,47071.8139779224
44.0,29.0,HR,PhD,48859.33079300963
30.0,15.0,HR,Bachelors,20771.962207237277
58.0,31.0,IT,Diploma,63731.01703565635
20.0,3.0,HR,Diploma,1213.0841553825521
56.0,31.0,Sales,Diploma,54477.8755643801
23.0,4.0,HR,Diploma,23943.64387569687
25.0,1.0,Sales,PhD,11917.36937671707
44.0,27.0,IT,Masters,69432.01511478309
26.0,11.0,Finance,Masters,38180.373541288405
54.0,39.0,,Bachelors,63809.494937543546
50.0,28.0,Finance,Bachelors,66018.07920863642
59.0,35.0,Sales,PhD,57868.14165544967
41.0,16.0,HR,Masters,49571.167979712474
32.0,6.0,Marketing,Masters,47037.774307336345
49.0,22.0,Finance,Diploma,56101.338903782394
49.0,22.0,HR,PhD,51889.70249282425
41.0,15.0,Finance,PhD,68746.69253062585
58.0,29.0,HR,Diploma,71829.55897014785
29.0,1.0,IT,PhD,29513.552461507494
56.0,40.0,Finance,PhD,48354.60574777321
19.0,8.0,Marketing,Bachelors,45979.35474756466
20.0,3.0,Marketing,Masters,35637.90972283508
54.0,38.0,Sales,PhD,86034.9349478325
34.0,17.0,HR,Bachelors,58412.395085510834
19.0,2.0,Finance,Masters,43063.06582002862
19.0,4.0,Sales,Diploma,33394.27306931142
45.0,21.0,Finance,Bachelors,33664.518874991365
40.0,18.0,HR,Bachelors,41430.55546948027
,27.0,Marketing,Masters,58752.42141486165
49.0,25.0,IT,Diploma,24056.298604862815
50.0,26.0,Marketing,Bachelors,69425.70939478517
18.0,6.0,Sales,PhD,65805.66002627069
36.0,8.0,IT,PhD,7225.910644438754
19.0,3.0,Sales,PhD,11396.766734796965
43.0,26.0,HR,Diploma,54244.9369634971
49.0,26.0,IT,Bachelors,42061.28626547599
23.0,2.0,Sales,PhD,35513.5965074751
49.0,31.0,HR,Diploma,53724.889451638446
21.0,3.0,Marketing,PhD,17042.722207664185
,9.0,HR,Masters,56526.09510267734
34.0,18.0,Finance,Bachelors,51367.74907864274
55.0,28.0,HR,Bachelors,44003.87037907592
41.0,16.0,HR,Diploma,65375.37671991231
22.0,5.0,Finance,Diploma,26373.91067659371
51.0,29.0,Sales,Bachelors,34572.392249417
23.0,5.0,Sales,PhD,36752.677346316035
39.0,16.0,HR,PhD,48097.36434833999
28.0,9.0,Finance,Masters,45178.75338328269
33.0,6.0,Finance,PhD,45245.26689978731
50.0,27.0,Marketing,Diploma,59341.87092866536
26.0,8.0,Sales,Diploma,43532.404621737616
23.0,1.0,IT,PhD,22193.69299537753
33.0,14.0,Sales,Diploma,30988.835881441693
46.0,23.0,Sales,Bachelors,59535.473743886774
20.0,2.0,Marketing,Bachelors,35251.847660498315
37.0,20.0,IT,PhD,58303.686092293836
53.0,38.0,Marketing,Bachelors,34790.842665586024
36.0,19.0,IT,Bachelors,37688.204263736094
43.0,25.0,HR,Masters,78605.28352865833
20.0,4.0,IT,Masters,41487.997285211604
36.0,,Marketing,Bachelors,51233.25676468729
,16.0,Sales,PhD,53418.865504545116
49.0,27.0,IT,Masters,84726.75788799272
24.0,3.0,IT,Diploma,62370.74313430542
58.0,30.0,Finance,Diploma,30307.188640311095
50.0,31.0,Sales,Diploma,36642.48261395947
57.0,31.0,HR,PhD,30598.84016673812
56.0,41.0,Marketing,Bachelors,51593.38166589606
35.0,14.0,HR,Diploma,42023.78947978385
57.0,30.0,Sales,PhD,57630.22716101695
,3.0,IT,Masters,9442.818852191209
28.0,5.0,IT,Bachelors,5989.722604463361
45.0,28.0,Sales,Masters,163712.51678267296
42.0,19.0,IT,PhD,58942.568984069316
40.0,12.0,IT,Diploma,55955.443675404684
48.0,33.0,IT,Diploma,81987.37289006528
47.0,32.0,Marketing,PhD,55115.046236123286
59.0,31.0,Marketing,Diploma,67222.30235585159
52.0,34.0,Finance,Bachelors,72348.4244157449
24.0,1.0,HR,PhD,23347.11450991068
33.0,13.0,Sales,Masters,46217.67322295699
43.0,16.0,Sales,PhD,52680.57688564631
19.0,6.0,Sales,Bachelors,21162.635743723135
18.0,1.0,Finance,Bachelors,55431.44256661165
29.0,14.0,Marketing,PhD,40617.8157591996
22.0,4.0,Finance,PhD,34505.52842220009
54.0,28.0,Sales,Diploma,38189.87930086813
49.0,22.0,HR,Bachelors,35908.607061837
26.0,3.0,IT,PhD,-547.7190124801346
58.0,41.0,Marketing,PhD,63627.33814627918
52.0,26.0,Marketing,Bachelors,88385.33814462958
36.0,13.0,Finance,PhD,25120.708278432692
33.0,12.0,Marketing,Diploma,84242.95392232458
20.0,6.0,Sales,Bachelors,56013.76893918621
37.0,9.0,Sales,Diploma,30096.16828534337
41.0,12.0,Finance,Diploma,40008.97057228318
,32.0,Sales,Diploma,53573.49538127594
41.0,24.0,HR,Diploma,299169.83840386267
28.0,4.0,Finance,Bachelors,40955.235951769406
25.0,4.0,HR,Diploma,50929.610729327214
53.0,34.0,IT,Diploma,62572.577680420225
55.0,36.0,HR,PhD,57120.412191080744
57.0,40.0,IT,Bachelors,66896.35047606072
37.0,11.0,IT,Bachelors,32695.83649191878
52.0,29.0,HR,Masters,31416.939347936535
42.0,24.0,Finance,Bachelors,61405.32863934976
52.0,27.0,Sales,Bachelors,29082.533274853697
42.0,23.0,Sales,Masters,44367.48734807237
46.0,28.0,IT,Bachelors,45802.03568576874
35.0,16.0,IT,Bachelors,52450.308965811055
35.0,14.0,Finance,Bachelors,64670.56877400294
19.0,4.0,Marketing,Bachelors,51274.559709511224
52.0,31.0,HR,Masters,64886.375283426394
33.0,6.0,IT,Bachelors,25351.92531568827
58.0,39.0,Sales,Bachelors,58447.962696053044
53.0,29.0,Finance,Masters,48260.89439416273
50.0,26.0,HR,PhD,43745.778299058344
21.0,0.0,Finance,Diploma,23963.233370597438
50.0,22.0,HR,PhD,41162.92947398614
31.0,2.0,HR,Masters,24498.60710949256
38.0,14.0,IT,Diploma,55478.245270428306
37.0,18.0,Finance,Masters,28580.44666700862
25.0,8.0,Finance,Masters,25457.888465442542
24.0,3.0,Sales,Bachelors,8648.89918440732
20.0,7.0,Sales,Diploma,56832.242037662734
34.0,9.0,IT,Bachelors,25252.455620136192
50.0,25.0,IT,Diploma,59911.628475832105
29.0,13.0,Marketing,Masters,47529.782903184605
39.0,10.0,Sales,Masters,57782.57931636156
39.0,13.0,HR,PhD,37249.74952437359
47.0,24.0,Finance,Diploma,34986.90319071132
55.0,31.0,IT,Bachelors,31463.750361925573
55.0,31.0,,PhD,13030.465328268496
25.0,1.0,Finance,PhD,33220.29838818354
,29.0,Marketing,PhD,64832.08858733372
44.0,,Sales,Bachelors,50675.32157796761
51.0,31.0,IT,PhD,31853.535452407883
38.0,17.0,Finance,Bachelors,59182.392176678935
47.0,19.0,IT,PhD,34726.75957526971
50.0,23.0,HR,Bachelors,34796.447587873685
45.0,23.0,Marketing,Masters,37590.51647045225
50.0,26.0,HR,Masters,51976.13383759116
22.0,1.0,IT,Masters,8529.476427243917
,20.0,IT,Masters,45444.46129421323
21.0,4.0,Sales,Masters,39641.72368075504
52.0,28.0,Finance,PhD,69009.85844365423
34.0,18.0,Finance,PhD,47039.34985831866
45.0,26.0,HR,PhD,30705.57252709313
47.0,20.0,Marketing,Bachelors,48233.353414783356
46.0,27.0,Finance,Bachelors,35696.1258908082
23.0,3.0,Sales,Bachelors,15630.822654495743
